Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
kanzi,kanzi.transform,FSDCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,LZCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,LZCodec.LZXCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,LZCodec.LZXCodec,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: HASH_SEED; HASH_LOG1; HASH_SHIFT1; HASH_MASK1; HASH_LOG2; HASH_SHIFT2; HASH_MASK2; MAX_DISTANCE1; MAX_DISTANCE2; MIN_MATCH1; MIN_MATCH2; MAX_MATCH; MIN_BLOCK_LENGTH; MIN_MATCH_MIN_DIST; hashes; mBuf; mLenBuf; tkBuf; extra; ctx; isBsVersion2
kanzi,kanzi.transform,LZCodec.LZPCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,LZCodec.LZPCodec,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: HASH_SEED; HASH_LOG; HASH_SHIFT; MIN_MATCH96; MIN_MATCH64; MIN_BLOCK_LENGTH; MATCH_FLAG; hashes; isBsVersion3
kanzi,kanzi.transform,NullTransform,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,RLT,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,ROLZCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,ROLZCodec.ROLZCodec1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,ROLZCodec.ROLZCodec1,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: MIN_MATCH3; MIN_MATCH4; MIN_MATCH7; MAX_MATCH; LOG_POS_CHECKS; logPosChecks; maskChecks; posChecks; matches; counters; ctx; minMatch
kanzi,kanzi.transform,ROLZCodec.ROLZCodec2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,ROLZCodec.ROLZCodec2,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: MIN_MATCH3; MIN_MATCH7; MAX_MATCH; LOG_POS_CHECKS; logPosChecks; maskChecks; posChecks; matches; counters; ctx; minMatch
kanzi,kanzi.transform,ROLZCodec.ROLZEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,ROLZCodec.ROLZEncoder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: TOP; MASK_0_32; PSCALE; sba; low; high; probs; logSizes; c1; ctx; pIdx
kanzi,kanzi.transform,ROLZCodec.ROLZDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,ROLZCodec.ROLZDecoder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: TOP; MASK_0_56; MASK_0_32; PSCALE; sba; low; high; current; probs; logSizes; c1; ctx; pIdx
kanzi,kanzi.transform,SA_IS,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: computeSuffixArray
kanzi,kanzi.transform,SA_IS,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,SBRT,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MODE_MTF; MODE_RANK; MODE_TIMESTAMP; prev; curr; symbols; ranks; mode
kanzi,kanzi.transform,SRT,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,TextCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,TextCodec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: THRESHOLD1; THRESHOLD2; THRESHOLD3; THRESHOLD4; MAX_DICT_SIZE; MAX_WORD_LENGTH; MIN_BLOCK_SIZE; MAX_BLOCK_SIZE; LOG_HASHES_SIZE; LF; CR; ESCAPE_TOKEN1; ESCAPE_TOKEN2; HASH1; HASH2; MASK_NOT_TEXT; MASK_CRLF; MASK_XML_HTML; MASK_DT; MASK_LENGTH; DELIMITER_CHARS; DICT_EN_1024; STATIC_DICTIONARY; STATIC_DICT_WORDS; delegate; dictMap; dictList; staticDictSize; logHashSize; hashMask; isCRLF; dictSize; ctx; dictMap; dictList; staticDictSize; logHashSize; hashMask; isCRLF; dictSize; ctx; hash; pos; data; buf
kanzi,kanzi.transform,TextCodec.TextCodec1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,TextCodec.TextCodec1,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: dictMap; dictList; staticDictSize; logHashSize; hashMask; isCRLF; dictSize; ctx
kanzi,kanzi.transform,TextCodec.TextCodec2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,TextCodec.TextCodec2,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: dictMap; dictList; staticDictSize; logHashSize; hashMask; isCRLF; dictSize; ctx
kanzi,kanzi.transform,TextCodec.DictEntry,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: hash; pos; data; buf
kanzi,kanzi.transform,TextCodec.DictEntry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
